Indiv	generation
D-00-12	3
105-D-00-15	2
D-01-18	2
35-D-05-23	3
36-D-06-14	3
38-D-06-16	3
51-D-07-09	5
56-D-07-16	3
52-D-07-17	5
45-D-07-24	3
40-D-07-28	3
53-D-08-08	5
55-D-08-10	3
D-08-19	4
D-08-20	4
48-D-08-21	3
69-D-10-15	6
106-D-10-20	2
70-D-10-23	6
112-D-10-29	3
109-D-10-30	3
108-D-10-44	6
D-10-50	4
107-D-10-53	1
68-D-10-68	4
103-D-11-17	4
73-D-11-22	4
78-D-11-58	4
D-84-03	1
D-85-02	1
3-D-86-01	1
4-D-89-01	2
16-D-89-03	2
5-D-91-01	2
94-D-92-01	1
43-D-92-02	1
17-D-92-05	2
57-D-92-06	3
D-93-01	1
30-D-93-02	2
31-D-93-03	2
19-D-94-01	3
59-D-96-01	1
22-D-99-02	1
85-G100-12	2
104-G100-14	1
99-G106-13	2
76-G109-11	2
111-G110-11	4
96-G111-14	2
86-G126-13	5
87-G139-12	2
62-G174-13	5
95-G175-13	4
91-G24-14	5
97-G32-12	3
98-G32-15	3
102-G34-10	4
84-G37-10	1
100-G47-11	1
88-G50-12	4
92-G58-15	5
89-G67-15	1
77-G87-12	5
75-G9-05	2
61-G97-13	3
14-M-00-09	2
60-M-00-10	3
12-M-01-04	2
110-M-01-06	3
15-M-01-10	3
25-M-03-06	2
28-M-03-07	3
M-05-07	4
37-M-06-03	4
39-M-06-04	4
54-M-07-06	4
81-M-09-05	3
80-M-09-17	2
65-M-10-04	1
67-M-11-02	1
M-98-01	3
6-M-98-02	2
11-M-98-03	1
13-M-98-08	2
W89r	3  
W99r	3
W9r	2
