UU_ID	ENA_ID	Category	SRA_acc	RoHClass	GenClass	sex	
	100-G47-11	G47-11	2007-2014I	ERS1754933	2007-2014I	L1	female
102-G34-10	G34-10	2007-2014S	ERS1754931	40<	F4	female
103-D-11-17	D-11-17	1999-2006	ERS1754894	20-30	F4	female
104-G100-14	G100-14	2007-2014I	ERS1754917	2007-2014I	L1	male
105-D-00-15	D-00-15	1991-1998	ERS1754869	20-30	F2	male
106-D-10-20	D-10-20	1999-2006	ERS1754886	20-30	F2	female
107-D-10-53	D-10-53	2007-2014I	ERS1754892	2007-2014I	L1	male
108-D-10-44	D-10-44	2007-2014S	ERS1754890	40<	F6	male
109-D-10-30	D-10-30	1999-2006	ERS1754889	20-30	F3	male
110-M-01-06	M-01-06	1999-2006	ERS1754944	30-40	F3	female
111-G110-11	G110-11	2007-2014S	ERS1754920	40<	F4	female
112-D-10-29	D-10-29	1999-2006	ERS1754888	30-40	F3	male
11-M-98-03	M-98-03	1991-1998	ERS1754963	0-20	F1	female
12-M-01-04	M-01-04	1991-1998	ERS1754943	20-30	F2	female
13-M-98-08	M-98-08	1991-1998	ERS1754964	0-20	F2	male
14-M-00-09	M-00-09	1991-1998	ERS1754941	0-20	F2	male
15-M-01-10	M-01-10	1991-1998	ERS1754945	20-30	F3	female
16-D-89-03	D-89-03	1983-1990	ERS1754904	30-40	F2	female
17-D-92-05	D-92-05	1983-1990	ERS1754908	20-30	F2	male
19-D-94-01	D-94-01	1983-1990	ERS1754913	30-40	F3	female
21-M-02-15	M-02-15	NR_immigrants	ERS1754946	NR_immigrants	NR_immigrants	male
22-D-99-02	D-99-02	1991-1998	ERS1754915	0-20	F1	male
25-M-03-06	M-03-06	1999-2006	ERS1754947	20-30	F2	male
28-M-03-07	M-03-07	1991-1998	ERS1754948	20-30	F3	female
30-D-93-02	D-93-02	1983-1990	ERS1754911	30-40	F2	female
31-D-93-03	D-93-03	1983-1990	ERS1754912	30-40	F2	female
32-D-05-18	D-05-18	NR_immigrants	ERS1754871	NR_immigrants	NR_immigrants	male
33-M-05-01	M-05-01	NR_immigrants	ERS1754949	NR_immigrants	NR_immigrants	male
35-D-05-23	D-05-23	1991-1998	ERS1754872	20-30	F3	male
36-D-06-14	D-06-14	1999-2006	ERS1754873	30-40	F3	female
37-M-06-03	M-06-03	1999-2006	ERS1754951	30-40	F4	male
38-D-06-16	D-06-16	1999-2006	ERS1754874	30-40	F3	female
39-M-06-04	M-06-04	1999-2006	ERS1754952	30-40	F4	female
3-D-86-01	D-86-01	1983-1990	ERS1754902	0-20	F1	male
40-D-07-28	D-07-28	1999-2006	ERS1754879	40<	F3	male
42-M-07-02	M-07-02	NR_immigrants	ERS1754953	NR_immigrants	NR_immigrants	male
43-D-92-02	D-92-02	1991-1998	ERS1754907	0-20	F1	male
45-D-07-24	D-07-24	1999-2006	ERS1754878	20-30	F3	female
48-D-08-21	D-08-21	2007-2014S	ERS1754884	20-30	F3	male
4-D-89-01	D-89-01	1983-1990	ERS1754903	30-40	F2	male
51-D-07-09	D-07-09	1999-2006	ERS1754875	40<	F5	male
52-D-07-17	D-07-17	1999-2006	ERS1754877	40<	F5	female
53-D-08-08	D-08-08	1999-2006	ERS1754880	40<	F5	female
54-M-07-06	M-07-06	1999-2006	ERS1754954	40<	F4	male
55-D-08-10	D-08-10	1999-2006	ERS1754881	40<	F3	female
56-D-07-16	D-07-16	2007-2014S	ERS1754876	40<	F3	male
57-D-92-06	D-92-06	1983-1990	ERS1754909	20-30	F3	male
59-D-96-01	D-96-01	1991-1998	ERS1754914	0-20	F1	male
5-D-91-01	D-91-01	1983-1990	ERS1754905	30-40	F2	female
60-M-00-10	M-00-10	1999-2006	ERS1754942	20-30	F3	male
61-G97-13	G97-13	2007-2014S	ERS1754940	20-30	F3	male
62-G174-13	G174-13	2007-2014S	ERS1754924	20-30	F5	female
63-M-10-10	M-10-10	R_immigrants	ERS1754959	R_immigrants	R_immigrants	male
65-M-10-04	M-10-04	2007-2014I	ERS1754958	2007-2014I	L1	female
67-M-11-02	M-11-02	2007-2014I	ERS1754960	2007-2014I	L1	female
68-D-10-68	D-10-68	2007-2014S	ERS1754893	20-30	F4	male
69-D-10-15	D-10-15	2007-2014S	ERS1754885	40<	F6	female
6-M-98-02	M-98-02	1983-1990	ERS1754962	20-30	F2	male
70-D-10-23	D-10-23	2007-2014S	ERS1754887	40<	F6	female
71-G82-10	G82-10	NR_immigrants	ERS1754937	NR_immigrants	NR_immigrants	female
73-D-11-22	D-11-22	2007-2014S	ERS1754895	30-40	F4	female
75-G9-05	G9-05	1999-2006	ERS1754939	0-20	F2	male
76-G109-11	G109-11	2007-2014I	ERS1754919	2007-2014I	L2	male
77-G87-12	G87-12	2007-2014S	ERS1754938	30-40	F5	female
78-D-11-58	D-11-58	2007-2014S	ERS1754896	20-30	F4	female
79-M-09-03	M-09-03	R_immigrants	ERS1754955	R_immigrants	R_immigrants	male
7-D-77-01	D-77-01	NR_immigrants	ERS1754897	NR_immigrants	NR_immigrants	male
80-M-09-17	M-09-17	1999-2006	ERS1754957	20-30	F2	male
81-M-09-05	M-09-05	1999-2006	ERS1754956	30-40	F3	male
82-G23-13	G23-13	R_immigrants	ERS1754926	R_immigrants	R_immigrants	male
83-G31-13	G31-13	R_immigrants	ERS1754928	R_immigrants	R_immigrants	female
84-G37-10	G37-10	2007-2014I	ERS1754932	2007-2014I	L1	male
85-G100-12	G100-12	2007-2014I	ERS1754916	2007-2014I	L2	male
86-G126-13	G126-13	2007-2014S	ERS1754922	20-30	F5	male
87-G139-12	G139-12	2007-2014I	ERS1754923	2007-2014I	L2	female
88-G50-12	G50-12	2007-2014S	ERS1754934	40<	F4	male
89-G67-15	G67-15	2007-2014I	ERS1754936	2007-2014I	L1	female
8-D-79-01	D-79-01	NR_immigrants	ERS1754898	NR_immigrants	NR_immigrants	female
91-G24-14	G24-14	2007-2014S	ERS1754927	30-40	F5	female
