#CHROM	START	STOP	FF	FM1	FM2
1	0	1000000	1|4	2|24	8|32
1	1000000	2000000	2|8	6|12	1|16
1	2000000	3000000	9|14	1|14	8|18
1	3000000	4000000	17|19	8|19	3|4
1	4000000	5000000	11|25	5|11	4|20
1	5000000	6000000	3|3	3|10	4|20
1	6000000	7000000	22|31	11|31	2|25
1	7000000	8000000	2|10	2|9	21|23
1	8000000	9000000	24|40	24|26	4|37
1	9000000	10000000	3|35	3|4	9|29
1	10000000	11000000	10|11	3|10	1|9
1	11000000	12000000	2|32	2|11	36|39
1	12000000	13000000	22|26	17|23	33|36
1	13000000	14000000	23|33	2|26	28|45
1	14000000	15000000	22|27	4|8	11|33
1	15000000	16000000	17|37	5|18	25|32
1	16000000	17000000	6|38	2|33	18|35
1	17000000	18000000	28|35	5|32	23|54
1	18000000	19000000	25|39	39|43	44|47
1	19000000	20000000	5|16	16|20	2|25
1	20000000	21000000	20|37	20|34	1|29
1	21000000	22000000	21|24	17|24	1|10
1	22000000	23000000	5|36	5|30	9|21
1	23000000	24000000	13|31	13|21	4|29
1	24000000	25000000	4|23	5|23	13|17
1	25000000	26000000	34|46	34|49	9|37
1	26000000	27000000	13|23	14|23	34|45
1	27000000	28000000	5|14	1|12	1|21
1	28000000	29000000	7|44	4|24	1|22
1	29000000	30000000	19|33	23|37	33|37
1	30000000	31000000	10|23	5|44	1|22
1	31000000	32000000	17|32	28|28	1|38
1	32000000	33000000	10|26	5|5	2|20
1	33000000	34000000	8|15	24|24	27|33
1	34000000	35000000	17|34	29|31	1|7
1	35000000	36000000	15|18	32|41	28|35
1	36000000	37000000	4|25	12|32	2|29
1	37000000	38000000	17|23	7|13	1|30
1	38000000	39000000	1|16	5|23	7|11
1	39000000	40000000	18|21	5|7	1|6
1	40000000	41000000	15|30	34|38	18|45
1	41000000	42000000	6|21	23|40	4|34
1	42000000	43000000	13|35	5|6	2|7
1	43000000	44000000	9|16	5|21	2|25
1	44000000	45000000	1|11	9|26	7|19
1	45000000	46000000	23|25	1|22	3|14
1	46000000	47000000	19|19	1|25	7|19
1	47000000	48000000	9|10	2|11	3|9
1	48000000	49000000	8|37	2|10	20|36
1	49000000	50000000	8|34	5|28	9|23
1	50000000	51000000	12|14	1|10	15|16
1	51000000	52000000	6|19	1|13	25|28
1	52000000	53000000	23|25	1|9	5|10
1	53000000	54000000	32|34	1|5	10|24
1	54000000	55000000	4|30	1|12	22|25
1	55000000	56000000	34|40	2|37	20|27
1	56000000	57000000	15|30	1|22	1|14
1	57000000	58000000	9|23	1|9	1|5
1	58000000	59000000	5|21	1|21	1|20
1	59000000	60000000	13|21	5|13	4|7
1	60000000	61000000	1|3	1|1	6|12
1	61000000	62000000	2|22	2|2	3|18
1	62000000	63000000	9|19	3|3	16|26
1	63000000	64000000	4|6	8|8	17|29
1	64000000	65000000	1|17	3|3	5|33
1	65000000	66000000	16|20	2|2	9|24
1	66000000	67000000	10|32	24|24	17|30
1	67000000	68000000	7|22	4|4	16|27
1	68000000	69000000	4|7	17|17	2|12
1	69000000	70000000	10|32	40|40	17|22
1	70000000	71000000	1|12	24|24	21|22
1	71000000	72000000	4|9	24|24	13|29
1	72000000	73000000	12|22	33|33	15|21
1	73000000	74000000	22|28	11|11	17|21
1	74000000	75000000	17|30	19|19	7|23
1	75000000	76000000	1|15	30|30	6|7
1	76000000	77000000	8|38	2|2	4|34
1	77000000	78000000	7|29	27|27	7|36
1	78000000	79000000	14|33	7|8	23|33
1	79000000	80000000	1|43	23|41	4|40
1	80000000	81000000	12|18	1|29	16|20
1	81000000	82000000	11|17	14|31	1|18
1	82000000	83000000	7|12	1|23	13|18
1	83000000	84000000	8|23	1|29	17|23
1	84000000	85000000	5|29	2|4	28|32
1	85000000	86000000	2|10	9|15	4|13
1	86000000	87000000	8|33	26|35	22|31
1	87000000	88000000	28|29	5|9	1|28
1	88000000	89000000	17|25	5|36	14|28
1	89000000	90000000	19|38	3|7	13|28
1	90000000	91000000	5|23	7|22	14|39
1	91000000	92000000	22|39	16|18	3|6
1	92000000	93000000	10|12	5|20	15|27
1	93000000	94000000	32|38	16|25	25|31
1	94000000	95000000	6|17	3|5	4|33
1	95000000	96000000	11|14	1|19	28|40
1	96000000	97000000	5|22	3|29	27|34
1	97000000	98000000	13|30	2|15	11|18
1	98000000	99000000	1|8	16|16	5|26
1	99000000	100000000	2|21	4|4	4|11
1	100000000	101000000	16|24	18|18	14|18
1	101000000	102000000	1|3	1|1	2|2
1	102000000	103000000	5|30	2|5	28|28
1	103000000	104000000	28|41	8|30	6|6
1	104000000	105000000	25|48	14|20	8|8
1	105000000	106000000	5|11	3|9	37|41
1	106000000	107000000	35|40	1|9	14|17
1	107000000	108000000	4|15	8|26	14|17
1	108000000	109000000	4|41	9|20	8|26
1	109000000	110000000	5|23	22|34	1|32
1	110000000	111000000	28|30	4|9	36|39
1	111000000	112000000	7|37	26|28	11|20
1	112000000	113000000	6|21	4|25	5|10
1	113000000	114000000	5|27	7|26	28|33
1	114000000	115000000	9|26	13|22	23|29
1	115000000	116000000	11|17	16|21	4|23
1	116000000	117000000	15|19	1|8	24|26
1	117000000	118000000	6|14	7|7	24|29
1	118000000	119000000	18|33	2|3	24|41
1	119000000	120000000	18|23	37|48	4|10
1	120000000	121000000	10|61	35|47	21|25
1	121000000	122000000	4|31	15|45	16|35
1	122000000	123000000	8|36	22|28	9|25
2	0	1000000	1|12	12|13	1|1
2	1000000	2000000	1|13	13|16	1|1
2	2000000	3000000	1|18	12|18	1|1
2	3000000	4000000	2|2	14|29	2|2
2	4000000	5000000	0|0	0|0	0|0
2	5000000	6000000	0|0	0|0	0|0
2	6000000	7000000	0|0	0|0	0|0
2	7000000	8000000	1|2	19|29	2|2
2	8000000	9000000	1|4	9|22	4|4
2	9000000	10000000	1|32	6|21	32|32
2	10000000	11000000	11|37	6|32	37|37
2	11000000	12000000	8|30	1|11	30|30
2	12000000	13000000	2|8	4|21	8|8
2	13000000	14000000	2|10	29|32	10|10
2	14000000	15000000	4|23	6|9	4|4
2	15000000	16000000	2|29	15|22	29|29
2	16000000	17000000	4|4	24|30	4|4
2	17000000	18000000	9|14	17|20	14|14
2	18000000	19000000	8|63	7|50	56|57
2	19000000	20000000	18|19	11|25	2|5
2	20000000	21000000	4|22	4|10	3|16
2	21000000	22000000	1|26	22|29	13|16
2	22000000	23000000	10|18	23|26	19|29
2	23000000	24000000	21|42	10|15	11|13
2	24000000	25000000	9|27	8|23	4|20
2	25000000	26000000	41|43	30|32	6|46
2	26000000	27000000	4|39	20|23	28|32
2	27000000	28000000	11|23	18|21	2|39
2	28000000	29000000	24|31	1|18	28|30
2	29000000	30000000	12|29	22|25	30|32
2	30000000	31000000	10|30	21|25	5|18
2	31000000	32000000	17|37	3|24	2|28
2	32000000	33000000	7|16	19|26	29|40
2	33000000	34000000	22|25	2|11	7|14
2	34000000	35000000	17|30	6|15	18|27
2	35000000	36000000	7|12	2|15	4|29
2	36000000	37000000	13|34	17|31	6|26
2	37000000	38000000	2|10	18|31	1|19
2	38000000	39000000	1|41	6|22	11|20
2	39000000	40000000	19|30	19|32	1|25
2	40000000	41000000	20|26	16|26	4|4
2	41000000	42000000	13|21	15|21	16|17
2	42000000	43000000	6|18	9|18	22|28
2	43000000	44000000	8|26	17|26	1|4
2	44000000	45000000	10|27	14|30	14|26
2	45000000	46000000	12|29	1|11	1|7
2	46000000	47000000	19|21	13|22	13|22
2	47000000	48000000	4|15	3|11	3|10
2	48000000	49000000	13|29	2|3	2|5
2	49000000	50000000	12|27	6|8	8|10
2	50000000	51000000	8|28	12|20	12|14
2	51000000	52000000	18|29	23|26	24|26
2	52000000	53000000	7|10	4|10	1|18
2	53000000	54000000	3|21	3|15	3|31
2	54000000	55000000	1|31	4|8	1|32
2	55000000	56000000	13|20	4|32	20|22
2	56000000	57000000	6|31	22|32	18|31
2	57000000	58000000	8|13	1|15	4|8
2	58000000	59000000	27|28	38|42	13|28
2	59000000	60000000	13|35	3|13	32|35
2	60000000	61000000	5|41	4|37	26|41
2	61000000	62000000	6|37	29|33	4|55
2	62000000	63000000	14|35	24|32	22|32
2	63000000	64000000	30|42	5|17	8|17
2	64000000	65000000	26|38	18|21	31|43
2	65000000	66000000	6|16	7|11	6|23
2	66000000	67000000	18|32	15|X	1|18
2	67000000	68000000	19|32	20|30	1|34
2	68000000	69000000	3|35	26|45	7|41
2	69000000	70000000	6|17	20|36	2|10
2	70000000	71000000	4|8	24|33	3|37
2	71000000	72000000	7|31	3|40	13|14
2	72000000	73000000	15|28	3|7	13|32
2	73000000	74000000	27|35	3|11	4|24
2	74000000	75000000	21|29	9|37	2|41
2	75000000	76000000	32|38	1|42	27|35
2	76000000	77000000	8|42	31|35	14|29
2	77000000	78000000	1|29	9|21	28|39
2	78000000	79000000	11|16	17|27	3|10
2	79000000	80000000	10|35	13|27	49|52
2	80000000	81000000	20|50	11|11	6|32
2	81000000	82000000	19|50	19|19	19|37
2	82000000	83000000	1|46	50|50	42|52
2	83000000	84000000	2|8	10|10	36|60
2	84000000	85000000	38|71	17|22	21|27
2	85000000	86000000	4|8	4|4	4|17
3	0	1000000	2|14	1|14	1|9
3	1000000	2000000	1|11	8|12	2|6
3	2000000	3000000	8|13	2|3	9|13
3	3000000	4000000	8|19	1|5	7|8
3	4000000	5000000	14|22	7|17	10|15
3	5000000	6000000	9|13	1|7	10|20
3	6000000	7000000	1|19	2|10	14|23
3	7000000	8000000	6|17	13|14	8|11
3	8000000	9000000	10|19	21|26	1|3
3	9000000	10000000	1|30	4|21	4|7
3	10000000	11000000	1|3	7|10	7|10
3	11000000	12000000	26|29	2|18	7|18
3	12000000	13000000	1|4	1|7	7|12
3	13000000	14000000	10|16	15|34	25|34
3	14000000	15000000	27|29	18|36	7|36
3	15000000	16000000	4|22	1|20	14|20
3	16000000	17000000	15|33	19|31	13|19
3	17000000	18000000	1|3	5|5	2|5
3	18000000	19000000	3|21	15|15	15|25
3	19000000	20000000	13|19	8|8	8|26
3	20000000	21000000	14|27	3|3	2|3
3	21000000	22000000	12|16	1|1	1|23
3	22000000	23000000	6|23	15|15	16|30
3	23000000	24000000	14|35	3|3	22|24
3	24000000	25000000	7|25	1|10	17|17
3	25000000	26000000	20|26	2|4	24|24
3	26000000	27000000	2|26	1|7	4|4
3	27000000	28000000	6|30	4|29	26|26
3	28000000	29000000	2|4	13|27	15|23
3	29000000	30000000	21|26	2|27	24|31
3	30000000	31000000	22|30	8|17	10|28
3	31000000	32000000	9|23	1|28	4|33
3	32000000	33000000	21|34	5|27	2|13
3	33000000	34000000	12|14	3|27	23|33
3	34000000	35000000	15|28	6|22	4|9
3	35000000	36000000	17|25	7|14	13|21
3	36000000	37000000	12|28	1|3	23|28
3	37000000	38000000	2|28	2|14	18|28
3	38000000	39000000	12|12	3|12	12|14
3	39000000	40000000	27|29	29|30	21|27
3	40000000	41000000	7|7	7|22	2|7
3	41000000	42000000	17|17	12|18	2|17
3	42000000	43000000	2|2	10|12	2|26
3	43000000	44000000	18|20	1|16	18|27
3	44000000	45000000	16|22	35|39	21|32
3	45000000	46000000	17|22	18|32	10|16
3	46000000	47000000	22|30	7|21	26|27
3	47000000	48000000	3|24	23|34	35|39
3	48000000	49000000	23|31	26|35	7|15
3	49000000	50000000	2|45	3|12	34|37
3	50000000	51000000	1|21	11|13	26|32
3	51000000	52000000	7|17	17|34	14|36
3	52000000	53000000	1|13	7|10	23|30
3	53000000	54000000	1|7	3|30	6|30
3	54000000	55000000	1|32	22|33	21|31
3	55000000	56000000	2|13	28|33	19|22
3	56000000	57000000	5|35	23|25	6|19
3	57000000	58000000	33|37	24|29	10|19
3	58000000	59000000	13|33	6|28	3|30
3	59000000	60000000	22|35	11|16	28|43
3	60000000	61000000	5|6	10|18	7|36
3	61000000	62000000	1|23	6|10	7|13
3	62000000	63000000	1|5	16|25	3|21
3	63000000	64000000	1|45	11|35	17|24
3	64000000	65000000	15|25	3|27	27|43
3	65000000	66000000	2|7	10|40	28|40
3	66000000	67000000	3|21	24|26	7|24
3	67000000	68000000	1|19	7|19	19|37
3	68000000	69000000	5|22	7|22	12|22
3	69000000	70000000	8|21	8|13	8|24
3	70000000	71000000	13|30	19|29	29|32
3	71000000	72000000	19|27	7|9	7|26
3	72000000	73000000	18|25	6|17	6|16
3	73000000	74000000	27|39	19|38	17|38
3	74000000	75000000	23|38	39|45	20|45
3	75000000	76000000	12|24	32|35	19|35
3	76000000	77000000	2|39	15|17	17|34
3	77000000	78000000	6|34	11|12	11|29
3	78000000	79000000	23|38	7|13	7|18
3	79000000	80000000	4|15	38|40	21|37
3	80000000	81000000	7|43	19|38	30|47
3	81000000	82000000	11|24	16|23	19|30
3	82000000	83000000	21|35	4|40	18|24
3	83000000	84000000	3|38	21|32	14|28
3	84000000	85000000	13|22	38|47	29|43
3	85000000	86000000	11|15	9|30	41|47
3	86000000	87000000	12|21	15|20	11|40
3	87000000	88000000	23|25	2|20	8|14
3	88000000	89000000	4|39	14|22	31|38
3	89000000	90000000	2|34	8|49	5|40
3	90000000	91000000	3|5	11|23	32|59
3	91000000	92000000	29|31	28|33	3|27
4	0	1000000	17|21	10|18	16|16
4	1000000	2000000	3|12	7|13	3|3
